"month","day","year","business_id","risk_category","inspection_score","zipcode","latitude","longitude"
2,26,2018,10030,"None",100,94103,37.766864,-122.419014
9,5,2017,10083,"Moderate Risk",81,94111,37.794024,-122.401299
9,5,2017,10083,"Moderate Risk",81,94111,37.794024,-122.401299
4,26,2019,10083,"Moderate Risk",86,94111,37.794024,-122.401299
9,19,2017,10280,"Moderate Risk",92,94102,37.782034,-122.419777
4,5,2018,10280,"Low Risk",88,94102,37.782034,-122.419777
10,18,2018,10280,"High Risk",81,94102,37.782034,-122.419777
10,18,2018,10280,"Low Risk",81,94102,37.782034,-122.419777
10,18,2018,10280,"Low Risk",81,94102,37.782034,-122.419777
10,18,2018,10280,"Low Risk",81,94102,37.782034,-122.419777
3,1,2019,10280,"Low Risk",88,94102,37.782034,-122.419777
3,1,2019,10280,"Low Risk",88,94102,37.782034,-122.419777
5,23,2017,10282,"High Risk",91,94118,37.787311,-122.446839
6,12,2018,10282,"Low Risk",92,94118,37.787311,-122.446839
6,12,2018,10282,"Low Risk",92,94118,37.787311,-122.446839
10,2,2017,10332,"Moderate Risk",79,94103,37.776384,-122.411684
10,2,2017,10332,"Low Risk",79,94103,37.776384,-122.411684
10,2,2017,10332,"Moderate Risk",79,94103,37.776384,-122.411684
11,27,2018,10332,"Low Risk",75,94103,37.776384,-122.411684
11,27,2018,10332,"Low Risk",75,94103,37.776384,-122.411684
11,27,2018,10332,"Low Risk",75,94103,37.776384,-122.411684
7,16,2019,10332,"Low Risk",82,94103,37.776384,-122.411684
7,16,2019,10332,"High Risk",82,94103,37.776384,-122.411684
7,28,2017,10433,"Low Risk",86,94102,37.788128,-122.409705
1,24,2019,10433,"Low Risk",70,94102,37.788128,-122.409705
1,24,2019,10433,"High Risk",70,94102,37.788128,-122.409705
1,24,2019,10433,"Low Risk",70,94102,37.788128,-122.409705
1,24,2019,10433,"Moderate Risk",70,94102,37.788128,-122.409705
1,8,2019,10438,"Moderate Risk",90,94102,37.788858,-122.411754
1,8,2019,10438,"Low Risk",90,94102,37.788858,-122.411754
6,5,2017,10540,"Low Risk",72,94111,37.795225,-122.39377
6,5,2017,10540,"Low Risk",72,94111,37.795225,-122.39377
6,5,2017,10540,"Low Risk",72,94111,37.795225,-122.39377
6,5,2017,10540,"High Risk",72,94111,37.795225,-122.39377
6,5,2017,10540,"Moderate Risk",72,94111,37.795225,-122.39377
6,5,2017,10540,"High Risk",72,94111,37.795225,-122.39377
6,15,2018,10540,"High Risk",87,94111,37.795225,-122.39377
3,21,2019,10540,"Low Risk",87,94111,37.795225,-122.39377
9,27,2017,10625,"Low Risk",79,94108,37.790453,-122.403994
9,27,2017,10625,"High Risk",79,94108,37.790453,-122.403994
10,4,2018,10625,"Low Risk",85,94108,37.790453,-122.403994
10,4,2018,10625,"High Risk",85,94108,37.790453,-122.403994
4,11,2018,10875,"Moderate Risk",90,94115,37.778194,-122.438474
4,11,2018,10875,"Moderate Risk",90,94115,37.778194,-122.438474
3,13,2019,10875,"Low Risk",92,94115,37.778194,-122.438474
1,9,2018,10877,"Low Risk",81,94118,37.783038,-122.462982
7,1,2019,10877,"Low Risk",48,94118,37.783038,-122.462982
7,1,2019,10877,"Low Risk",48,94118,37.783038,-122.462982
7,1,2019,10877,"High Risk",48,94118,37.783038,-122.462982
7,1,2019,10877,"Moderate Risk",48,94118,37.783038,-122.462982
1,17,2018,10931,"Low Risk",96,94118,37.781736,-122.452151
12,3,2018,10931,"High Risk",91,94118,37.781736,-122.452151
11,14,2016,10990,"Moderate Risk",84,94122,37.753623,-122.489929
11,14,2016,10990,"Moderate Risk",84,94122,37.753623,-122.489929
11,14,2016,10990,"Low Risk",84,94122,37.753623,-122.489929
11,14,2017,10990,"Moderate Risk",86,94122,37.753623,-122.489929
11,14,2017,10990,"Moderate Risk",86,94122,37.753623,-122.489929
7,17,2019,10990,"Moderate Risk",86,94122,37.753623,-122.489929
7,17,2019,10990,"Low Risk",86,94122,37.753623,-122.489929
3,7,2018,11289,"Moderate Risk",90,94107,37.776805,-122.393789
1,16,2018,11304,"Low Risk",96,94105,37.787914,-122.387718
